sp,Genus,Species,a,b,k
ade1tr,Adelia,triloba,57.1,0.66,23.2
alchco,Alchornea,costaricensis,53,0.64,18.8
allops,Allophylus,psilospermus,57.9,0.74,22
alsebl,Alseis,blackiana,56.2,0.73,21.7
amaico,Amaioua,corymbosa,63,0.7,20.7
anacex,Anacardium,excelsum,48.5,0.82,17.6
andiin,Andira,inermis,63.5,0.74,24.6
annoac,Annona,acuminata,62.2,0.72,23.5
apeime,Apeiba,membranacea,53.9,0.71,18.5
apeiti,Apeiba,tibourbou,42.5,0.78,18.7
ardife,Ardisia,standleyana,62.3,0.62,22.4
aspicr,Aspidosperma,desmanthum,62.5,0.77,19.6
ast2gr,Astronium,graveolens,63.9,0.79,23.7
beilpe,Beilschmiedia,tovarensis,52.4,0.91,26.9
brosal,Brosimum,alicastrum,63.2,0.8,29.4
brosgu,Brosimum,guianense,62,0.71,19.6
calolo,Calophyllum,longifolium,61.1,0.74,20.7
caseac,Casearia,aculeata,61.7,0.74,23.1
casear,Casearia,arborea,56.4,0.67,17.3
casesy,Casearia,sylvestris,57.7,0.69,22.6
cassel,Cassipourea,elliptica,59.9,0.74,23.5
cavapl,Cavanillesia,platanifolia,51.7,0.77,16.9
cecrin,Cecropia,insignis,47.1,0.96,22.9
cecrob,Cecropia,obtusifolia,40.1,0.88,12.4
ceibpe,Ceiba,pentandra,53.6,0.79,23.8
celtsc,Celtis,schippii,58.8,0.76,20.8
chr2ar,Chrysophyllum,argenteum,57.6,0.79,27
chr2ca,Chrysophyllum,cainito,63,0.75,22.3
phoeci,Cinnamomum,triplinerve,55.3,0.72,19.2
conoci,Conostegia,cinnamomea,56.9,0.71,24.7
cordal,Cordia,alliodora,56.6,0.82,21
cordbi,Cordia,bicolor,49.9,0.86,23.9
cordla,Cordia,lasiocalyx,58.3,0.64,20.1
cou2cu,Coussarea,curvigemmia,57.1,0.74,24.2
crotbi,Croton,billbergianus,50,0.77,18.9
cupala,Cupania,latifolia,55.9,0.73,21.9
cupasy,Cupania,seemannii,61.4,0.65,19.4
nectpu,Damburneya,umbrosa,55,0.74,19.5
dendar,Dendropanax,arboreus,57.1,0.71,24.1
des2pa,Desmopsis,panamensis,60.1,0.67,22.7
dio2ar,Diospyros,artanthifolia,58.8,0.67,17.8
diptpa,Dipteryx,oleifera,64.5,0.8,23
drypst,Drypetes,standleyi,55.4,0.78,22.6
entesc,Enterolobium,schomburgkii,55.5,0.77,18.9
ery2ma,Erythroxylum,macrophyllum,60.6,0.68,23
eugeco,Eugenia,coloradoensis,62.5,0.75,22.1
eugega,Eugenia,galalonensis,61.8,0.71,22
eugene,Eugenia,nesiotica,61.8,0.72,24.4
eugeoe,Eugenia,oerstediana,54.8,0.77,26.9
faraoc,Faramea,occidentalis,59.1,0.65,20.5
ficuc2,Ficus,costaricana,59.6,0.7,23.4
ficuma,Ficus,maxima,51.6,0.81,19.5
ficuto,Ficus,tonduzii,58.3,0.66,23.3
ficutr,Ficus,trigonata,48.5,0.81,20.4
ficuyo,Ficus,yoponensis,44.1,0.86,16.7
gar2ma,Garcinia,madruno,58,0.72,22.8
gar2in,Garcinia,recondita,57.6,0.77,26.7
geniam,Genipa,americana,63.8,0.66,24
guapst,Guapira,standleyana,64.4,0.7,21.9
guarsp,Guarea,bullata,61.9,0.7,23.9
guargr,Guarea,grandifolia,59.3,0.74,21.8
guargu,Guarea,guidonia,60.5,0.6,19.5
guatdu,Guatteria,lucens,65,0.74,22
guazul,Guazuma,ulmifolia,48.3,0.7,15.4
gustsu,Gustavia,superba,54.6,0.69,21.8
tab1gu,Handroanthus,guayacan,58.4,0.8,25.6
hassfl,Hasseltia,floribunda,60.7,0.54,20.3
heisac,Heisteria,acuminata,58.9,0.66,20.5
heisco,Heisteria,concinna,48.2,0.68,15.7
hyeral,Hieronyma,alchorneoides,64.3,0.7,23
hirtam,Hirtella,americana,59.3,0.62,17.6
hirttr,Hirtella,triandra,57.3,0.71,23.3
ingas1,Inga,acuminata,54.6,0.67,18.7
ingago,Inga,goldmanii,59,0.72,23.1
ingama,Inga,marginata,56.1,0.69,17.5
ingasa,Inga,sapindoides,58.3,0.74,22.9
ingasp,Inga,spectabilis,53.5,0.73,22.1
ingaum,Inga,umbellifera,63.5,0.59,17.2
jac1co,Jacaranda,copaia,51.4,0.75,14.6
laciag,Lacistema,aggregatum,62,0.71,21.9
lacmpa,Lacmellea,panamensis,53.4,0.69,17.4
laetpr,Laetia,procera,48.2,0.81,17.2
laetth,Laetia,thamnia,60.3,0.65,18
licahy,Licania,hypoleuca,62.5,0.67,20.7
licapl,Licania,platypus,61,0.72,23.4
lindla,Lindackeria,laurina,57.4,0.71,23.3
loncla,Lonchocarpus,heptaphyllus,63.9,0.75,21.4
luehse,Luehea,seemannii,55.1,0.78,26.9
macrgl,Macrocnemum,roseum,59.4,0.71,23.7
maquco,Maquira,guianensis,59.1,0.68,21.2
mar1la,Marila,laxiflora,56.2,0.64,23
maytsc,Maytenus,schippii,61.4,0.75,21.7
micoar,Miconia,argentea,50.8,0.79,18.2
micone,Miconia,nervosa,54.9,0.7,24.3
malmsp,Mosannona,garwoodii,60.1,0.7,20.4
mourmy,Mouriri,myrtilloides,62.5,0.51,19.4
myrcga,Myrcia,splendens tip. gatunensis,61.2,0.64,17.8
myrofr,Myrospermum,frutescens,66.4,0.76,20.7
nectci,Nectandra,cissiflora,55.6,0.75,17.2
ochrpy,Ochroma,pyramidale,34.6,0.9,13.4
ocotob,Ocotea,oblonga,51.4,0.75,20.5
ocotpu,Ocotea,puberula,56.5,0.75,20.9
ocotwh,Ocotea,whitei,57.4,0.78,22
ormocr,Ormosia,coccinea,60,0.77,21.3
ormoma,Ormosia,macrocalyx,58.2,0.81,28.1
ouralu,Ouratea,lucens,66.2,0.74,21.2
pochse,Pachira,sessilis,58.1,0.78,20.4
perexa,Perebea,xanthochyma,59.7,0.66,19.7
picrla,Picramnia,latifolia,63.4,0.56,19.7
pipere,Piper,reticulatum,56.7,0.72,22.1
pla1pi,Platymiscium,pinnatum,65.7,0.68,18.7
pla2el,Platypodium,elegans,59.3,0.77,23.3
hybapr,Pombalia,prunifolia,61.8,0.51,22.6
poular,Poulsenia,armata,57.4,0.86,33.1
pourbi,Pourouma,bicolor,51.1,0.71,16.4
poutre,Pouteria,reticulata,63.3,0.71,20.6
pri2co,Prioria,copaifera,60.1,0.86,36.5
protsp,Protium,confusum,54.5,0.68,16.7
protco,Protium,costaricense,60.8,0.61,19.3
protpa,Protium,panamense,61.8,0.68,19.8
protte,Protium,tenuifolium subsp. sessiliflorum,50.1,0.75,21.2
pse1se,Pseudobombax,septenatum,52.7,0.8,20.6
psycma,Psychotria,marginata,56.9,0.68,26.1
pterro,Pterocarpus,hayesii,62.8,0.75,23.3
quaras,Quararibea,asterolepis,57.8,0.86,32
quasam,Quassia,amara,63.9,0.56,21.5
randar,Randia,armata,61.3,0.52,20.6
rinosy,Rinorea,sylvatica,61.2,0.64,24.9
sapiau,Sapium,glandulosum,57.1,0.8,22.2
simaam,Simarouba,amara,39.9,1.01,21.9
sipacr,Siparuna,cristata,58.6,0.76,21.7
sloate,Sloanea,terniflora,55.7,0.92,33
soroaf,Sorocea,affinis,61.6,0.61,21.5
sponmo,Spondias,mombin,50.1,0.78,20
sponra,Spondias,radlkoferi,54.2,0.8,28.3
sterap,Sterculia,apetala,59.3,0.82,26.9
swars2,Swartzia,simplex var. continentalis,64.6,0.6,22.1
swars1,Swartzia,simplex var. grandiflora,64.9,0.56,18.6
sympgl,Symphonia,globulifera,58.6,0.78,20.5
tab1ro,Tabebuia,rosea,58.9,0.92,28.8
tab2ar,Tabernaemontana,arborea,62,0.66,23.4
tachve,Tachigali,panamensis,49.7,0.97,28.9
talipr,Talisia,croatii,63,0.73,23.8
taline,Talisia,nervosa,65.2,0.6,23.5
termam,Terminalia,amazonia,58.7,0.77,19.4
termob,Terminalia,oblonga,59.9,0.85,25
tet2pa,Tetragastris,panamensis,57,0.72,19.9
tocopi,Tocoyena,pittieri,53.3,0.73,22.4
tratas,Trattinnickia,aspera,50.4,0.74,14.9
tremmi,Trema,micrantha,38.6,0.88,15
tri2pa,Trichilia,pallida,57.1,0.68,23.3
tri2tu,Trichilia,tuberculata,57.9,0.83,27.7
tripcu,Triplaris,cumingiana,59,0.79,19.8
turpoc,Turpinia,occidentalis,48.5,0.72,22.5
unonpi,Unonopsis,pittieri,58.5,0.76,21.3
virosp,Virola,multiflora,55.3,0.78,20.2
virosu,Virola,nobilis,65,0.76,24.1
virose,Virola,sebifera,57.9,0.79,24.4
vochfe,Vochysia,ferruginea,50,0.78,18.4
xyl1ma,Xylopia,macrantha,54,0.76,19.1
zantbe,Zanthoxylum,ekmanii,44.1,0.89,16.8
zantp1,Zanthoxylum,panamense,60.1,0.77,20.1
